PostID, Overall_Sentiment_Score, Sentiment_Vector, Number_of_Comments_Between_Edits, Total_Scores_Between_Edits, Cummulative_Scores_Between_Edits
301287 ,  27.9 , "[ 0,2.5,1.55,2.4,1.05,0,2.3,0.5,0.8,1.45,0.5,0,1.15,0.1,-0.95,0,1.2,0,1.7,0.4,0.7,0,1.9,0,0.55,0,0.75,0,2.8,0.5,0.6,2.5,0,0,0,0,0,0.3,0,0,-0.8,0.6,0.85,-1.1,0.25,0.6,0.25,0 ]" , "[ 14,0,0,3,1,3,5,2,1,8,0 ]" , "[ 13.35,1.2,1.2,2.8,1.9,1.3,6.4,0,0.3,0.65,0 ]" , "[ 13.35,14.55,15.75,18.55,20.45,21.75,28.15,28.15,28.45,29.1,29.1 ]"
306332 ,  14.7 , "[ 0,0.85,0.8,0,1.2,0.5,2.55,0.75,1,-0.75,1.75,0.5,0.6,0,1,1,1.6,0,0.75,0,0,0.6 ]" , "[ 1,0,3,0,4,0,0,6 ]" , "[ 0.85,0.8,4.25,1.75,2.1,1,2,2.95 ]" , "[ 0.85,1.65,5.9,7.65,9.75,10.75,12.75,15.7 ]"
308712 ,  10.9 , "[ 0,0.05,2.3,-0.35,1.25,1.65,0,-2.1,0.8,-0.25,-0.35,-0.75,0.5,0,1,0,0,0.9,3.1,0,2.15,0,1,0 ]" , "[ 12,0,0,0,2,1,2 ]" , "[ 2.75,1,1,0,4,2.15,1 ]" , "[ 2.75,3.75,4.75,4.75,8.75,10.9,11.9 ]"
312464 ,  10.25 , "[ 0,0,1.7,-0.25,0,0.25,0.9,-0.8,0,1,1.2,0,0.25,1.05,1,-0.2,1.65,-0.25,0.5,1.25,0,1 ]" , "[ 0,3,0,4,1,0,5,0,0 ]" , "[ 0,1.45,1.15,1.4,0.25,2.05,2.95,1,1 ]" , "[ 0,1.45,2.6,4,4.25,6.3,9.25,10.25,11.25 ]"
325528 ,  7.95 , "[ 0,0.8,0,0.25,3.45,1.5,1,0.55,0.5,0.85,0,0,-0.2,-0.75,1,0,-1 ]" , "[ 0,0,10,0,0,1 ]" , "[ 0.8,0.8,7.9,0.25,1,-1 ]" , "[ 0.8,1.6,9.5,9.75,10.75,9.75 ]"
326440 ,  5.25 , "[ 0,-1.1,0,0,0,0.6,1.6,0,0.5,1.7,0,0,0,0.25,-1,0.85,0,0.25,0.75,0.25,0.6,0 ]" , "[ 1,4,2,0,10 ]" , "[ -1.1,2.2,2.2,0,1.95 ]" , "[ -1.1,1.1,3.3,3.3,5.25 ]"
332429 ,  6.3 , "[ 0,0,0.85,-0.4,0,-0.35,-0.25,0.85,-1.5,2.05,0.5,-0.1,3.2,-0.9,0.5,0.5,0,0,0.5,0,-0.6,-0.25,1.4,0.3 ]" , "[ 0,2,1,10,1,1,2 ]" , "[ 0,0.45,-0.35,5.1,0.5,-0.6,1.7 ]" , "[ 0,0.45,0.1,5.2,5.7,5.1,6.8 ]"
336868 ,  13.55 , "[ 0,0,1.65,0,3.45,-0.35,1.25,0.5,1.65,0,0,0.5,0,-0.5,0.45,0.9,0,1.55,0.1,1.05,0.35,-0.2,1.2 ]" , "[ 2,6,1,3,1,2,1 ]" , "[ 1.65,6.5,0.5,0.85,1.55,1.4,1.2 ]" , "[ 1.65,8.15,8.65,9.5,11.05,12.45,13.65 ]"
338470 ,  9.6 , "[ 0,0.05,0.6,0.45,-0.25,1.5,0.25,0.5,0,-1.5,1.4,-0.25,0.6,0,1.1,0,0,1.25,0,1,1.8,-0.5,-0.85,0,0,0,-1.4,-0.6,-0.75,0.25,0.5,0,-0.75,0,3.2,0,0,-0.5,1.3,1.25,-0.75,0,-0.2,0,0.9 ]" , "[ 1,1,0,2,0,1,1,2,3,0,1,0,0,2,2,0,0,1,0,8 ]" , "[ 0.05,0.45,1.25,0.75,-1.5,1.4,0.6,1.1,2.25,1.3,-0.85,0,0,-2,0.75,-0.75,-0.75,3.2,0,2 ]" , "[ 0.05,0.5,1.75,2.5,1,2.4,3,4.1,6.35,7.65,6.8,6.8,6.8,4.8,5.55,4.8,4.05,7.25,7.25,9.25 ]"
353073 ,  7.85 , "[ 0,1.35,0.5,0.6,0.1,0.95,0.6,0.3,0,0,0.25,0,1.6,0,0.25,0.8,0,-0.6,-0.45,0.1,0,0,0.1,0,0.25,1.65,-0.5 ]" , "[ 5,0,0,2,1,0,0,0,0,2,0,1,2,0 ]" , "[ 3.5,0.9,0.3,0.25,1.6,0.25,1.05,0.8,-0.6,-0.35,0,0.1,1.9,-0.5 ]" , "[ 3.5,4.4,4.7,4.95,6.55,6.8,7.85,8.65,8.05,7.7,7.7,7.8,9.7,9.2 ]"
359910 ,  9.6 , "[ 0,3.15,1.65,0,0.75,2.05,0,0.5,0.75,1.55,-0.25,0,0,0.1,0.75,0.25,-1.65,-0.75,-1.5,1.25,0.5,-0.5,0.35,0,0.4,0.25 ]" , "[ 2,2,10,1,6 ]" , "[ 4.8,2.8,2,-1.5,1 ]" , "[ 4.8,7.6,9.6,8.1,9.1 ]"
363692 ,  7.5 , "[ 0,0,1.35,-0.6,0.6,0,0,0,1,0,0,0,-0.5,2.6,0.25,1,-0.55,0,1.1,1.1,0.15 ]" , "[ 0,4,0,0,0,0,3,0,5 ]" , "[ 0,1.35,0,1,1,0,2.1,1.25,1.8 ]" , "[ 0,1.35,1.35,2.35,3.35,3.35,5.45,6.7,8.5 ]"
